Gene Systematic Name	Gene Name	Description
YJR155W	AAD10	Putative aryl-alcohol dehydrogenase; similar to P. chrysosporium aryl-alcohol dehydrogenase; mutational analysis has not yet revealed a physiological role; members of the AAD gene family comprise three pairs (AAD3 + AAD15, AAD6/AAD16 + AAD4, AAD10 + AAD14) whose two genes are more related to one another than to other members of the family
YOL165C	AAD15	Putative aryl-alcohol dehydrogenase; similar to P. chrysosporium aryl-alcohol dehydrogenase; mutational analysis has not yet revealed a physiological role; AAD15 has a paralog, AAD3, that arose from a segmental duplication; members of the AAD gene family comprise three pairs (AAD3 + AAD15, AAD6/AAD16 + AAD4, AAD10 + AAD14) whose two genes are more related to one another than to other members of the family
YBL074C	AAR2	Component of the U5 snRNP complex; required for splicing of U3 precursors; originally described as a splicing factor specifically required for splicing pre-mRNA of the MATa1 cistron
YLR027C	AAT2	Cytosolic aspartate aminotransferase involved in the metabolism of nitrogen and amino acids such as aspartate; localizes to and functions in peroxisomes in oleate-grown cells; moonlighting role as a ribosome-associated protein that modulates translation in response to stress
YGR037C	ACB1	Acyl-CoA-binding protein; transports newly synthesized acyl-CoA esters from fatty acid synthetase (Fas1p-Fas2p) to acyl-CoA-consuming processes; subject to starvation-induced, Grh1p-mediated unconventional secretion; protein abundance increases in response to DNA replication stress
YNR016C	ACC1	Acetyl-CoA carboxylase, biotin containing enzyme; catalyzes carboxylation of cytosolic acetyl-CoA to form malonyl-CoA and regulates histone acetylation by regulating the availability of acetyl-CoA; rate-limiting step for de novo biosynthesis of long-chain fatty acids; translational regulation in response to nutrients and cell cycle stage depends on its upstream ORF; ACC1 has a paralog, HFA1, that arose from the whole genome duplication
YLR131C	ACE2	Transcription factor required for septum destruction after cytokinesis; part of the RAM network that regulates polarity and morphogenesis; NES phosphorylation by RAM network kinase Cbk1p blocks nuclear exit in mother cells during the M/G1 transition, causing asymmetric localization to daughter cell nuclei, and increased Ace2p activity; phosphorylation by Cdc28p and Pho85p prevents nuclear import during cell cycle phases other than cytokinesis; Spt16p is required for nuclear exclusion during G1
YBL015W	ACH1	Protein with CoA transferase activity; particularly for CoASH transfer from succinyl-CoA to acetate; has minor acetyl-CoA-hydrolase activity; phosphorylated; required for acetate utilization and for diploid pseudohyphal growth
YKL192C	ACP1	Mitochondrial matrix acyl carrier protein; involved in biosynthesis of octanoate, which is a precursor to lipoic acid; coordinates mitochondrial fatty acid and iron sulfur cluster metabolism; activated by phosphopantetheinylation catalyzed by Ppt2p
YFL039C	ACT1	Actin, structural protein in cytoskeleton; involved in cell polarization, endocytosis, and other cytoskeletal functions; monomeric actin in the nucleus plays a role in INO80 chromatin remodeling
YGR061C	ADE6	Formylglycinamidine-ribonucleotide (FGAM)-synthetase; catalyzes a step in the 'de novo' purine nucleotide biosynthetic pathway
YOL086C	ADH1	Alcohol dehydrogenase; fermentative isozyme active as homo- or heterotetramers; required for the reduction of acetaldehyde to ethanol, the last step in the glycolytic pathway; ADH1 has a paralog, ADH5, that arose from the whole genome duplication
YBR145W	ADH5	Alcohol dehydrogenase isoenzyme V; involved in ethanol production; ADH5 has a paralog, ADH1, that arose from the whole genome duplication
YJR105W	ADO1	Adenosine kinase; required for the utilization of S-adenosylmethionine (AdoMet); may be involved in recycling adenosine produced through the methyl cycle
YDL239C	ADY3	Protein required for spore wall formation; subunit of leading edge protein (LEP) complex (Ssp1-Ady3-Don1-Irc10) that forms ring-like structure at leading edge of prospore membrane during meiosis II; mediates assembly of LEP complex, formation of ring-like structure via interaction with spindle pole body components, and prospore membrane maturation; also detected in peroxisomes; potentially phosphorylated by Cdc28p; ADY3 has a paralog, CNM67, that arose from the whole genome duplication
YMR064W	AEP1	Protein required for expression of the mitochondrial OLI1 gene; mitochondrial OLI1 gene encodes subunit 9 of F1-F0 ATP synthase
YGL071W	AFT1	Transcription factor involved in iron utilization and homeostasis; binds consensus site PyPuCACCCPu and activates transcription in response to changes in iron availability; in iron-replete conditions localization is regulated by Grx3p, Grx4p, and Fra2p, and promoter binding is negatively regulated via Grx3p-Grx4p binding; AFT1 has a paralog, AFT2, that arose from the whole genome duplication; relative distribution to the nucleus increases upon DNA replication stress
YBR132C	AGP2	Plasma membrane regulator of polyamine and carnitine transport; has similarity to transporters but lacks transport activity; may act as a sensor that transduces environmental signals; has a positive or negative regulatory effect on transcription of many transporter genes
YFL030W	AGX1	Alanine:glyoxylate aminotransferase (AGT); catalyzes the synthesis of glycine from glyoxylate, which is one of three pathways for glycine biosynthesis in yeast; similar to mammalian and plant alanine:glyoxylate aminotransferases; human homolog AGXT complements yeast null mutant
YDR214W	AHA1	Co-chaperone that binds Hsp82p and activates its ATPase activity; plays a role in determining prion variants; similar to Hch1p; involved in the nuclear import of Hsp82p after DNA damage; expression is regulated by stresses such as heat shock; protein abundance increases in response to DNA replication stress
YHL021C	AIM17	Protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; null mutant displays reduced frequency of mitochondrial genome loss
YHR198C	AIM18	Hemoprotein; protein of unknown function that localizes to the mitochondrial inner mnembrane; null mutant displays elevated frequency of mitochondrial genome loss; contains a chalcone isomerase (CHI) domain, a predicted N-terminal transmembrane domain and an N-terminal mitochondrial targeting sequence; lacks CHI catalytic activity
YIR003W	AIM21	Subunit of a complex that associates with actin filaments; forms a complex with Tda2p that inhibits barbed end F-actin assembly; elevates actin monomer pools to increase endocytotic efficiency and to regulate the distribution of actin between cables and patches; Aim21p/Tda2p forms a larger complex with actin capping proteins Cap1p and Cap2p; involved in mitochondrial migration along actin filaments; recruited to cortical actin patches by SH3 domain-containing proteins Bbc1p and Abp1p
YKL037W	AIM26	Protein of unknown function; null mutant is viable and displays elevated frequency of mitochondrial genome loss; null mutation confers sensitivity to tunicamycin and DTT
YML050W	AIM32	2Fe-2S mitochondrial protein involved in redox quality control; may maintain protein redox status by targeting oxidation sensitive cysteine residues; bishistidinyl coordinated, non-Rieske [2Fe-2S] cluster containing thiredoxin-like ferredoxin; forms a functional complex with Osm1p and Erv1p in the IMS; required for assembly of numerous mitochondrial import complexes; essential for anaerobiosis; localizes to the mitochondrial matrix and intermembrane space (IMS); homologous to APD1
YHR199C	AIM46	Hemoprotein; protein of unknown function that localizes to the mitochondrial inner mnembrane; null mutant displays elevated frequency of mitochondrial genome loss; contains a chalcone isomerase (CHI) domain, a predicted N-terminal transmembrane domain and an N-terminal mitochondrial targeting sequence; lacks CHI catalytic activity
